2025-04-04 23:03:08 | unimol_tools/data/conformer.py | 409 | INFO | Uni-Mol Tools | Start generating conformers...
2025-04-04 23:03:11 | unimol_tools/data/conformer.py | 420 | INFO | Uni-Mol Tools | Succeeded in generating conformers for 99.82% of molecules.
2025-04-04 23:03:11 | unimol_tools/data/conformer.py | 429 | INFO | Uni-Mol Tools | Failed conformers indices: [979, 1039]
2025-04-04 23:03:11 | unimol_tools/data/conformer.py | 437 | INFO | Uni-Mol Tools | Succeeded in generating 3d conformers for 99.09% of molecules.
2025-04-04 23:03:11 | unimol_tools/data/conformer.py | 446 | INFO | Uni-Mol Tools | Failed 3d conformers indices: [5, 28, 395, 470, 650, 964, 970, 979, 1031, 1039]
2025-04-04 23:03:11 | unimol_tools/data/split.py | 74 | WARNING | Uni-Mol Tools | [93m[93mOnly one fold is used for training, no splitting is performed.[0m[0m
2025-04-04 23:03:11 | unimol_tools/data/datahub.py | 130 | INFO | Uni-Mol Tools | Kfold is 1, all data is used for training.
2025-04-04 23:03:11 | unimol_tools/train.py | 217 | INFO | Uni-Mol Tools | Output directory already exists: ./exp
2025-04-04 23:03:11 | unimol_tools/train.py | 220 | INFO | Uni-Mol Tools | Warning: Overwrite output directory: ./exp
2025-04-04 23:03:11 | unimol_tools/tasks/trainer.py | 77 | INFO | Uni-Mol Tools | Number of GPUs available: 1
2025-04-04 23:03:11 | unimol_tools/tasks/trainer.py | 97 | INFO | Uni-Mol Tools | Using single GPU.
2025-04-04 23:03:11 | unimol_tools/weights/weighthub.py | 32 | INFO | Uni-Mol Tools | Weights will be downloaded to default directory: /root/miniconda3/lib/python3.10/site-packages/unimol_tools-0.1.3-py3.10.egg/unimol_tools/weights
2025-04-04 23:03:11 | unimol_tools/weights/weighthub.py | 73 | INFO | Uni-Mol Tools | Downloading modelzoo/310M/checkpoint.pt
2025-04-04 23:03:18 | unimol_tools/models/unimolv2.py | 156 | INFO | Uni-Mol Tools | Loading pretrained weights from /root/miniconda3/lib/python3.10/site-packages/unimol_tools-0.1.3-py3.10.egg/unimol_tools/weights/modelzoo/310M/checkpoint.pt
2025-04-04 23:03:19 | unimol_tools/models/nnmodel.py | 175 | INFO | Uni-Mol Tools | start training Uni-Mol:unimolv2
2025-04-04 23:03:54 | unimol_tools/tasks/trainer.py | 499 | INFO | Uni-Mol Tools | Epoch [1/100] train_loss: 91.2131, val_loss: 2.7663, val_mse: 9.6133, lr: 0.000033
2025-04-04 23:04:30 | unimol_tools/tasks/trainer.py | 499 | INFO | Uni-Mol Tools | Epoch [2/100] train_loss: 5.6921, val_loss: 5.4830, val_mse: 18.8392, lr: 0.000067
2025-04-04 23:05:03 | unimol_tools/tasks/trainer.py | 499 | INFO | Uni-Mol Tools | Epoch [3/100] train_loss: 12.9660, val_loss: 12.0083, val_mse: 41.4565, lr: 0.000100
2025-04-04 23:05:37 | unimol_tools/tasks/trainer.py | 499 | INFO | Uni-Mol Tools | Epoch [4/100] train_loss: 6.5873, val_loss: 33.8843, val_mse: 116.6017, lr: 0.000099
2025-04-04 23:06:10 | unimol_tools/tasks/trainer.py | 499 | INFO | Uni-Mol Tools | Epoch [5/100] train_loss: 8.2436, val_loss: 4.5148, val_mse: 15.5615, lr: 0.000098
2025-04-04 23:06:44 | unimol_tools/tasks/trainer.py | 499 | INFO | Uni-Mol Tools | Epoch [6/100] train_loss: 3.1617, val_loss: 2.6587, val_mse: 9.1744, lr: 0.000097
2025-04-04 23:07:21 | unimol_tools/tasks/trainer.py | 499 | INFO | Uni-Mol Tools | Epoch [7/100] train_loss: 1.7452, val_loss: 0.3401, val_mse: 1.1769, lr: 0.000096
2025-04-04 23:07:57 | unimol_tools/tasks/trainer.py | 499 | INFO | Uni-Mol Tools | Epoch [8/100] train_loss: 1.6406, val_loss: 0.8626, val_mse: 3.0009, lr: 0.000095
2025-04-04 23:08:32 | unimol_tools/tasks/trainer.py | 499 | INFO | Uni-Mol Tools | Epoch [9/100] train_loss: 1.0101, val_loss: 0.7636, val_mse: 2.6383, lr: 0.000094
2025-04-04 23:09:06 | unimol_tools/tasks/trainer.py | 499 | INFO | Uni-Mol Tools | Epoch [10/100] train_loss: 1.5881, val_loss: 0.2724, val_mse: 0.9476, lr: 0.000093
2025-04-04 23:09:41 | unimol_tools/tasks/trainer.py | 499 | INFO | Uni-Mol Tools | Epoch [11/100] train_loss: 0.5727, val_loss: 3.0164, val_mse: 10.4657, lr: 0.000092
2025-04-04 23:10:14 | unimol_tools/tasks/trainer.py | 499 | INFO | Uni-Mol Tools | Epoch [12/100] train_loss: 1.0420, val_loss: 0.7949, val_mse: 2.7427, lr: 0.000091
2025-04-04 23:10:47 | unimol_tools/tasks/trainer.py | 499 | INFO | Uni-Mol Tools | Epoch [13/100] train_loss: 0.5508, val_loss: 1.9130, val_mse: 6.6533, lr: 0.000090
2025-04-04 23:11:22 | unimol_tools/tasks/trainer.py | 499 | INFO | Uni-Mol Tools | Epoch [14/100] train_loss: 0.5035, val_loss: 0.3937, val_mse: 1.3705, lr: 0.000089
2025-04-04 23:11:56 | unimol_tools/tasks/trainer.py | 499 | INFO | Uni-Mol Tools | Epoch [15/100] train_loss: 0.4200, val_loss: 0.8228, val_mse: 2.8605, lr: 0.000088
2025-04-04 23:12:31 | unimol_tools/tasks/trainer.py | 499 | INFO | Uni-Mol Tools | Epoch [16/100] train_loss: 0.4424, val_loss: 0.1519, val_mse: 0.5293, lr: 0.000087
2025-04-04 23:13:05 | unimol_tools/tasks/trainer.py | 499 | INFO | Uni-Mol Tools | Epoch [17/100] train_loss: 0.3872, val_loss: 0.1467, val_mse: 0.5114, lr: 0.000086
2025-04-04 23:13:41 | unimol_tools/tasks/trainer.py | 499 | INFO | Uni-Mol Tools | Epoch [18/100] train_loss: 0.2927, val_loss: 0.3183, val_mse: 1.1005, lr: 0.000085
2025-04-04 23:14:14 | unimol_tools/tasks/trainer.py | 499 | INFO | Uni-Mol Tools | Epoch [19/100] train_loss: 0.3550, val_loss: 0.4243, val_mse: 1.4612, lr: 0.000084
2025-04-04 23:14:47 | unimol_tools/tasks/trainer.py | 499 | INFO | Uni-Mol Tools | Epoch [20/100] train_loss: 0.2391, val_loss: 0.3668, val_mse: 1.2682, lr: 0.000082
2025-04-04 23:15:21 | unimol_tools/tasks/trainer.py | 499 | INFO | Uni-Mol Tools | Epoch [21/100] train_loss: 0.3326, val_loss: 0.0977, val_mse: 0.3407, lr: 0.000081
2025-04-04 23:15:56 | unimol_tools/tasks/trainer.py | 499 | INFO | Uni-Mol Tools | Epoch [22/100] train_loss: 0.2191, val_loss: 0.2878, val_mse: 0.9945, lr: 0.000080
2025-04-04 23:16:29 | unimol_tools/tasks/trainer.py | 499 | INFO | Uni-Mol Tools | Epoch [23/100] train_loss: 0.2489, val_loss: 0.1415, val_mse: 0.4920, lr: 0.000079
2025-04-04 23:17:02 | unimol_tools/tasks/trainer.py | 499 | INFO | Uni-Mol Tools | Epoch [24/100] train_loss: 0.3032, val_loss: 0.3140, val_mse: 1.0952, lr: 0.000078
2025-04-04 23:17:35 | unimol_tools/tasks/trainer.py | 499 | INFO | Uni-Mol Tools | Epoch [25/100] train_loss: 0.2465, val_loss: 0.1285, val_mse: 0.4484, lr: 0.000077
2025-04-04 23:18:06 | unimol_tools/tasks/trainer.py | 499 | INFO | Uni-Mol Tools | Epoch [26/100] train_loss: 0.2705, val_loss: 0.2724, val_mse: 0.9505, lr: 0.000076
2025-04-04 23:18:39 | unimol_tools/tasks/trainer.py | 499 | INFO | Uni-Mol Tools | Epoch [27/100] train_loss: 0.1937, val_loss: 0.1347, val_mse: 0.4675, lr: 0.000075
2025-04-04 23:19:12 | unimol_tools/tasks/trainer.py | 499 | INFO | Uni-Mol Tools | Epoch [28/100] train_loss: 0.1953, val_loss: 0.0889, val_mse: 0.3091, lr: 0.000074
2025-04-04 23:19:47 | unimol_tools/tasks/trainer.py | 499 | INFO | Uni-Mol Tools | Epoch [29/100] train_loss: 0.2310, val_loss: 0.1577, val_mse: 0.5425, lr: 0.000073
2025-04-04 23:20:19 | unimol_tools/tasks/trainer.py | 499 | INFO | Uni-Mol Tools | Epoch [30/100] train_loss: 0.2308, val_loss: 0.1736, val_mse: 0.6042, lr: 0.000072
2025-04-04 23:20:52 | unimol_tools/tasks/trainer.py | 499 | INFO | Uni-Mol Tools | Epoch [31/100] train_loss: 0.2265, val_loss: 0.1666, val_mse: 0.5717, lr: 0.000071
2025-04-04 23:21:24 | unimol_tools/tasks/trainer.py | 499 | INFO | Uni-Mol Tools | Epoch [32/100] train_loss: 0.2105, val_loss: 0.0985, val_mse: 0.3419, lr: 0.000070
2025-04-04 23:21:55 | unimol_tools/tasks/trainer.py | 499 | INFO | Uni-Mol Tools | Epoch [33/100] train_loss: 0.1234, val_loss: 0.1633, val_mse: 0.5678, lr: 0.000069
2025-04-04 23:22:27 | unimol_tools/tasks/trainer.py | 499 | INFO | Uni-Mol Tools | Epoch [34/100] train_loss: 0.1211, val_loss: 0.0734, val_mse: 0.2542, lr: 0.000068
2025-04-04 23:23:02 | unimol_tools/tasks/trainer.py | 499 | INFO | Uni-Mol Tools | Epoch [35/100] train_loss: 0.3743, val_loss: 0.3818, val_mse: 1.3243, lr: 0.000067
2025-04-04 23:23:35 | unimol_tools/tasks/trainer.py | 499 | INFO | Uni-Mol Tools | Epoch [36/100] train_loss: 0.1824, val_loss: 0.1154, val_mse: 0.4014, lr: 0.000066
2025-04-04 23:24:07 | unimol_tools/tasks/trainer.py | 499 | INFO | Uni-Mol Tools | Epoch [37/100] train_loss: 0.1726, val_loss: 0.1203, val_mse: 0.4164, lr: 0.000065
