2025-04-05 00:54:14 | unimol_tools/data/conformer.py | 409 | INFO | Uni-Mol Tools | Start generating conformers...
2025-04-05 00:54:17 | unimol_tools/data/conformer.py | 420 | INFO | Uni-Mol Tools | Succeeded in generating conformers for 99.91% of molecules.
2025-04-05 00:54:17 | unimol_tools/data/conformer.py | 429 | INFO | Uni-Mol Tools | Failed conformers indices: [957]
2025-04-05 00:54:17 | unimol_tools/data/conformer.py | 437 | INFO | Uni-Mol Tools | Succeeded in generating 3d conformers for 98.81% of molecules.
2025-04-05 00:54:17 | unimol_tools/data/conformer.py | 446 | INFO | Uni-Mol Tools | Failed 3d conformers indices: [26, 171, 184, 233, 250, 390, 468, 488, 648, 684, 849, 957, 993]
2025-04-05 00:54:17 | unimol_tools/data/split.py | 74 | WARNING | Uni-Mol Tools | [93m[93mOnly one fold is used for training, no splitting is performed.[0m[0m
2025-04-05 00:54:17 | unimol_tools/data/datahub.py | 130 | INFO | Uni-Mol Tools | Kfold is 1, all data is used for training.
2025-04-05 00:54:17 | unimol_tools/train.py | 217 | INFO | Uni-Mol Tools | Output directory already exists: ./exp
2025-04-05 00:54:17 | unimol_tools/train.py | 220 | INFO | Uni-Mol Tools | Warning: Overwrite output directory: ./exp
2025-04-05 00:54:17 | unimol_tools/tasks/trainer.py | 77 | INFO | Uni-Mol Tools | Number of GPUs available: 1
2025-04-05 00:54:17 | unimol_tools/tasks/trainer.py | 97 | INFO | Uni-Mol Tools | Using single GPU.
2025-04-05 01:01:18 | unimol_tools/data/conformer.py | 409 | INFO | Uni-Mol Tools | Start generating conformers...
2025-04-05 01:01:21 | unimol_tools/data/conformer.py | 420 | INFO | Uni-Mol Tools | Succeeded in generating conformers for 99.82% of molecules.
2025-04-05 01:01:21 | unimol_tools/data/conformer.py | 429 | INFO | Uni-Mol Tools | Failed conformers indices: [621, 772]
2025-04-05 01:01:21 | unimol_tools/data/conformer.py | 437 | INFO | Uni-Mol Tools | Succeeded in generating 3d conformers for 98.89% of molecules.
2025-04-05 01:01:21 | unimol_tools/data/conformer.py | 446 | INFO | Uni-Mol Tools | Failed 3d conformers indices: [149, 180, 400, 514, 558, 621, 652, 772, 801, 942, 994, 1063]
2025-04-05 01:01:21 | unimol_tools/data/split.py | 74 | WARNING | Uni-Mol Tools | [93m[93mOnly one fold is used for training, no splitting is performed.[0m[0m
2025-04-05 01:01:21 | unimol_tools/data/datahub.py | 130 | INFO | Uni-Mol Tools | Kfold is 1, all data is used for training.
2025-04-05 01:01:21 | unimol_tools/train.py | 217 | INFO | Uni-Mol Tools | Output directory already exists: ./exp
2025-04-05 01:01:21 | unimol_tools/train.py | 220 | INFO | Uni-Mol Tools | Warning: Overwrite output directory: ./exp
2025-04-05 01:01:21 | unimol_tools/tasks/trainer.py | 77 | INFO | Uni-Mol Tools | Number of GPUs available: 1
2025-04-05 01:01:21 | unimol_tools/tasks/trainer.py | 97 | INFO | Uni-Mol Tools | Using single GPU.
2025-04-05 01:01:27 | unimol_tools/models/unimolv2.py | 156 | INFO | Uni-Mol Tools | Loading pretrained weights from /root/miniconda3/lib/python3.10/site-packages/unimol_tools-0.1.3-py3.10.egg/unimol_tools/weights/modelzoo/310M/checkpoint.pt
2025-04-05 01:01:28 | unimol_tools/models/nnmodel.py | 175 | INFO | Uni-Mol Tools | start training Uni-Mol:unimolv2
