2025-04-05 23:32:07 | unimol_tools\data\conformer.py | 409 | INFO | Uni-Mol Tools | Start generating conformers...
2025-04-05 23:32:18 | unimol_tools\data\conformer.py | 420 | INFO | Uni-Mol Tools | Succeeded in generating conformers for 99.82% of molecules.
2025-04-05 23:32:18 | unimol_tools\data\conformer.py | 429 | INFO | Uni-Mol Tools | Failed conformers indices: [979, 1039]
2025-04-05 23:32:18 | unimol_tools\data\conformer.py | 437 | INFO | Uni-Mol Tools | Succeeded in generating 3d conformers for 99.09% of molecules.
2025-04-05 23:32:18 | unimol_tools\data\conformer.py | 446 | INFO | Uni-Mol Tools | Failed 3d conformers indices: [5, 28, 395, 470, 650, 964, 970, 979, 1031, 1039]
2025-04-05 23:32:20 | unimol_tools\tasks\trainer.py | 77 | INFO | Uni-Mol Tools | Number of GPUs available: 1
2025-04-05 23:32:20 | unimol_tools\tasks\trainer.py | 97 | INFO | Uni-Mol Tools | Using single GPU.
2025-04-05 23:32:22 | unimol_tools\models\unimolv2.py | 156 | INFO | Uni-Mol Tools | Loading pretrained weights from c:\Users\yuchen\miniconda3\envs\py311\Lib\site-packages\unimol_tools\weights\modelzoo/310M/checkpoint.pt
2025-04-05 23:32:23 | unimol_tools\models\nnmodel.py | 282 | INFO | Uni-Mol Tools | start predict NNModel:unimolv2
2025-04-05 23:32:24 | unimol_tools\models\unimolv2.py | 156 | INFO | Uni-Mol Tools | Loading pretrained weights from ./P\model_0.pth
2025-04-05 23:32:24 | unimol_tools\tasks\trainer.py | 579 | INFO | Uni-Mol Tools | load model success!
2025-04-05 23:32:50 | unimol_tools\predict.py | 103 | INFO | Uni-Mol Tools | final predict metrics score: 
{'mse': 2.105895685382022, 'mae': 1.0740171738671036, 'r2': 0.8879900715841523, 'spearmanr': 0.9324226506488047, 'pearsonr': 0.9434699341216592}
2025-04-05 23:32:50 | unimol_tools\data\conformer.py | 409 | INFO | Uni-Mol Tools | Start generating conformers...
2025-04-05 23:32:53 | unimol_tools\data\conformer.py | 420 | INFO | Uni-Mol Tools | Succeeded in generating conformers for 100.00% of molecules.
2025-04-05 23:32:53 | unimol_tools\data\conformer.py | 437 | INFO | Uni-Mol Tools | Succeeded in generating 3d conformers for 97.81% of molecules.
2025-04-05 23:32:53 | unimol_tools\data\conformer.py | 446 | INFO | Uni-Mol Tools | Failed 3d conformers indices: [8, 24, 81, 144, 208, 217]
2025-04-05 23:32:53 | unimol_tools\tasks\trainer.py | 77 | INFO | Uni-Mol Tools | Number of GPUs available: 1
2025-04-05 23:32:53 | unimol_tools\tasks\trainer.py | 97 | INFO | Uni-Mol Tools | Using single GPU.
2025-04-05 23:32:55 | unimol_tools\models\unimolv2.py | 156 | INFO | Uni-Mol Tools | Loading pretrained weights from c:\Users\yuchen\miniconda3\envs\py311\Lib\site-packages\unimol_tools\weights\modelzoo/310M/checkpoint.pt
2025-04-05 23:32:55 | unimol_tools\models\nnmodel.py | 282 | INFO | Uni-Mol Tools | start predict NNModel:unimolv2
2025-04-05 23:32:56 | unimol_tools\models\unimolv2.py | 156 | INFO | Uni-Mol Tools | Loading pretrained weights from ./P\model_0.pth
2025-04-05 23:32:57 | unimol_tools\tasks\trainer.py | 579 | INFO | Uni-Mol Tools | load model success!
2025-04-05 23:33:02 | unimol_tools\predict.py | 103 | INFO | Uni-Mol Tools | final predict metrics score: 
{'mse': 5.327963733231491, 'mae': 1.638932159782326, 'r2': 0.6911219094360783, 'spearmanr': 0.8203270522438307, 'pearsonr': 0.8331741513258897}
2025-04-05 23:33:02 | unimol_tools\data\conformer.py | 409 | INFO | Uni-Mol Tools | Start generating conformers...
2025-04-05 23:33:03 | unimol_tools\data\conformer.py | 420 | INFO | Uni-Mol Tools | Succeeded in generating conformers for 100.00% of molecules.
2025-04-05 23:33:03 | unimol_tools\data\conformer.py | 437 | INFO | Uni-Mol Tools | Succeeded in generating 3d conformers for 96.77% of molecules.
2025-04-05 23:33:03 | unimol_tools\data\conformer.py | 446 | INFO | Uni-Mol Tools | Failed 3d conformers indices: [12]
2025-04-05 23:33:03 | unimol_tools\tasks\trainer.py | 77 | INFO | Uni-Mol Tools | Number of GPUs available: 1
2025-04-05 23:33:03 | unimol_tools\tasks\trainer.py | 97 | INFO | Uni-Mol Tools | Using single GPU.
2025-04-05 23:33:05 | unimol_tools\models\unimolv2.py | 156 | INFO | Uni-Mol Tools | Loading pretrained weights from c:\Users\yuchen\miniconda3\envs\py311\Lib\site-packages\unimol_tools\weights\modelzoo/310M/checkpoint.pt
2025-04-05 23:33:05 | unimol_tools\models\nnmodel.py | 282 | INFO | Uni-Mol Tools | start predict NNModel:unimolv2
2025-04-05 23:33:06 | unimol_tools\models\unimolv2.py | 156 | INFO | Uni-Mol Tools | Loading pretrained weights from ./P\model_0.pth
2025-04-05 23:33:06 | unimol_tools\tasks\trainer.py | 579 | INFO | Uni-Mol Tools | load model success!
2025-04-05 23:33:07 | unimol_tools\predict.py | 103 | INFO | Uni-Mol Tools | final predict metrics score: 
{'mse': 4.327837986187943, 'mae': 1.4031485946716802, 'r2': 0.8435124287899596, 'spearmanr': 0.9121182249270624, 'pearsonr': 0.9240783760039685}
