2025-04-05 18:15:11 | unimol_tools\data\conformer.py | 409 | INFO | Uni-Mol Tools | Start generating conformers...
2025-04-05 18:15:24 | unimol_tools\data\conformer.py | 420 | INFO | Uni-Mol Tools | Succeeded in generating conformers for 99.82% of molecules.
2025-04-05 18:15:24 | unimol_tools\data\conformer.py | 429 | INFO | Uni-Mol Tools | Failed conformers indices: [979, 1039]
2025-04-05 18:15:24 | unimol_tools\data\conformer.py | 437 | INFO | Uni-Mol Tools | Succeeded in generating 3d conformers for 99.09% of molecules.
2025-04-05 18:15:24 | unimol_tools\data\conformer.py | 446 | INFO | Uni-Mol Tools | Failed 3d conformers indices: [5, 28, 395, 470, 650, 964, 970, 979, 1031, 1039]
2025-04-05 18:15:26 | unimol_tools\tasks\trainer.py | 77 | INFO | Uni-Mol Tools | Number of GPUs available: 1
2025-04-05 18:15:26 | unimol_tools\tasks\trainer.py | 97 | INFO | Uni-Mol Tools | Using single GPU.
2025-04-05 18:15:28 | unimol_tools\models\unimolv2.py | 156 | INFO | Uni-Mol Tools | Loading pretrained weights from c:\Users\yuchen\miniconda3\envs\py311\Lib\site-packages\unimol_tools\weights\modelzoo/310M/checkpoint.pt
2025-04-05 18:15:29 | unimol_tools\models\nnmodel.py | 282 | INFO | Uni-Mol Tools | start predict NNModel:unimolv2
2025-04-05 18:15:30 | unimol_tools\models\unimolv2.py | 156 | INFO | Uni-Mol Tools | Loading pretrained weights from ./D\model_0.pth
2025-04-05 18:15:31 | unimol_tools\tasks\trainer.py | 579 | INFO | Uni-Mol Tools | load model success!
2025-04-05 18:15:57 | unimol_tools\predict.py | 103 | INFO | Uni-Mol Tools | final predict metrics score: 
{'mse': 0.012174985958256682, 'mae': 0.06682653715058628, 'r2': 0.996479149588213, 'spearmanr': 0.9984174394794737, 'pearsonr': 0.9984016781389202}
2025-04-05 18:15:57 | unimol_tools\data\conformer.py | 409 | INFO | Uni-Mol Tools | Start generating conformers...
2025-04-05 18:16:00 | unimol_tools\data\conformer.py | 420 | INFO | Uni-Mol Tools | Succeeded in generating conformers for 100.00% of molecules.
2025-04-05 18:16:00 | unimol_tools\data\conformer.py | 437 | INFO | Uni-Mol Tools | Succeeded in generating 3d conformers for 97.81% of molecules.
2025-04-05 18:16:00 | unimol_tools\data\conformer.py | 446 | INFO | Uni-Mol Tools | Failed 3d conformers indices: [8, 24, 81, 144, 208, 217]
2025-04-05 18:16:00 | unimol_tools\tasks\trainer.py | 77 | INFO | Uni-Mol Tools | Number of GPUs available: 1
2025-04-05 18:16:00 | unimol_tools\tasks\trainer.py | 97 | INFO | Uni-Mol Tools | Using single GPU.
2025-04-05 18:16:03 | unimol_tools\models\unimolv2.py | 156 | INFO | Uni-Mol Tools | Loading pretrained weights from c:\Users\yuchen\miniconda3\envs\py311\Lib\site-packages\unimol_tools\weights\modelzoo/310M/checkpoint.pt
2025-04-05 18:16:04 | unimol_tools\models\nnmodel.py | 282 | INFO | Uni-Mol Tools | start predict NNModel:unimolv2
2025-04-05 18:16:05 | unimol_tools\models\unimolv2.py | 156 | INFO | Uni-Mol Tools | Loading pretrained weights from ./D\model_0.pth
2025-04-05 18:16:06 | unimol_tools\tasks\trainer.py | 579 | INFO | Uni-Mol Tools | load model success!
2025-04-05 18:16:11 | unimol_tools\predict.py | 103 | INFO | Uni-Mol Tools | final predict metrics score: 
{'mse': 0.5668192408693207, 'mae': 0.45463768061060106, 'r2': 0.8226955597581219, 'spearmanr': 0.9190870665232062, 'pearsonr': 0.9140551929820016}
2025-04-05 18:16:11 | unimol_tools\data\conformer.py | 409 | INFO | Uni-Mol Tools | Start generating conformers...
2025-04-05 18:16:12 | unimol_tools\data\conformer.py | 420 | INFO | Uni-Mol Tools | Succeeded in generating conformers for 100.00% of molecules.
2025-04-05 18:16:12 | unimol_tools\data\conformer.py | 437 | INFO | Uni-Mol Tools | Succeeded in generating 3d conformers for 96.77% of molecules.
2025-04-05 18:16:12 | unimol_tools\data\conformer.py | 446 | INFO | Uni-Mol Tools | Failed 3d conformers indices: [12]
2025-04-05 18:16:12 | unimol_tools\tasks\trainer.py | 77 | INFO | Uni-Mol Tools | Number of GPUs available: 1
2025-04-05 18:16:12 | unimol_tools\tasks\trainer.py | 97 | INFO | Uni-Mol Tools | Using single GPU.
2025-04-05 18:16:15 | unimol_tools\models\unimolv2.py | 156 | INFO | Uni-Mol Tools | Loading pretrained weights from c:\Users\yuchen\miniconda3\envs\py311\Lib\site-packages\unimol_tools\weights\modelzoo/310M/checkpoint.pt
2025-04-05 18:16:16 | unimol_tools\models\nnmodel.py | 282 | INFO | Uni-Mol Tools | start predict NNModel:unimolv2
2025-04-05 18:16:16 | unimol_tools\models\unimolv2.py | 156 | INFO | Uni-Mol Tools | Loading pretrained weights from ./D\model_0.pth
2025-04-05 18:16:17 | unimol_tools\tasks\trainer.py | 579 | INFO | Uni-Mol Tools | load model success!
2025-04-05 18:16:17 | unimol_tools\predict.py | 103 | INFO | Uni-Mol Tools | final predict metrics score: 
{'mse': 0.4230503560588371, 'mae': 0.4834808165027251, 'r2': 0.7877262311248814, 'spearmanr': 0.88617603139469, 'pearsonr': 0.8875465099596349}
2025-04-05 18:16:25 | unimol_tools\data\conformer.py | 409 | INFO | Uni-Mol Tools | Start generating conformers...
2025-04-05 18:16:38 | unimol_tools\data\conformer.py | 420 | INFO | Uni-Mol Tools | Succeeded in generating conformers for 99.82% of molecules.
2025-04-05 18:16:38 | unimol_tools\data\conformer.py | 429 | INFO | Uni-Mol Tools | Failed conformers indices: [979, 1039]
2025-04-05 18:16:38 | unimol_tools\data\conformer.py | 437 | INFO | Uni-Mol Tools | Succeeded in generating 3d conformers for 99.09% of molecules.
2025-04-05 18:16:38 | unimol_tools\data\conformer.py | 446 | INFO | Uni-Mol Tools | Failed 3d conformers indices: [5, 28, 395, 470, 650, 964, 970, 979, 1031, 1039]
2025-04-05 18:16:38 | unimol_tools\tasks\trainer.py | 77 | INFO | Uni-Mol Tools | Number of GPUs available: 1
2025-04-05 18:16:38 | unimol_tools\tasks\trainer.py | 97 | INFO | Uni-Mol Tools | Using single GPU.
2025-04-05 18:16:40 | unimol_tools\models\unimolv2.py | 156 | INFO | Uni-Mol Tools | Loading pretrained weights from c:\Users\yuchen\miniconda3\envs\py311\Lib\site-packages\unimol_tools\weights\modelzoo/310M/checkpoint.pt
2025-04-05 18:16:41 | unimol_tools\models\nnmodel.py | 282 | INFO | Uni-Mol Tools | start predict NNModel:unimolv2
2025-04-05 18:16:41 | unimol_tools\models\unimolv2.py | 156 | INFO | Uni-Mol Tools | Loading pretrained weights from ./P/exp\model_0.pth
2025-04-05 18:16:42 | unimol_tools\tasks\trainer.py | 579 | INFO | Uni-Mol Tools | load model success!
2025-04-05 18:17:08 | unimol_tools\predict.py | 103 | INFO | Uni-Mol Tools | final predict metrics score: 
{'mse': 4.342851920331507, 'mae': 1.5853590030268805, 'r2': 0.7690091982743603, 'spearmanr': 0.8934639247385104, 'pearsonr': 0.901412526530103}
2025-04-05 18:17:08 | unimol_tools\data\conformer.py | 409 | INFO | Uni-Mol Tools | Start generating conformers...
2025-04-05 18:17:10 | unimol_tools\data\conformer.py | 420 | INFO | Uni-Mol Tools | Succeeded in generating conformers for 100.00% of molecules.
2025-04-05 18:17:10 | unimol_tools\data\conformer.py | 437 | INFO | Uni-Mol Tools | Succeeded in generating 3d conformers for 97.81% of molecules.
2025-04-05 18:17:10 | unimol_tools\data\conformer.py | 446 | INFO | Uni-Mol Tools | Failed 3d conformers indices: [8, 24, 81, 144, 208, 217]
2025-04-05 18:17:10 | unimol_tools\tasks\trainer.py | 77 | INFO | Uni-Mol Tools | Number of GPUs available: 1
2025-04-05 18:17:10 | unimol_tools\tasks\trainer.py | 97 | INFO | Uni-Mol Tools | Using single GPU.
